OrderNum,CustName,CustomerType,CustState
1100948,Ewan Ladd,Individual,Ohio
1101096,Lockman Group,Business,Kansas
1101138,Romaguera LLC,Business,Ohio
1101158,Vern Hodkiewicz,Individual,Minnesota
1101181,Nolan Wirth,Individual,Kansas
1101354,Predovic LLC,Business,Iowa
1101475,Heath Pretswell,Individual,Michigan
1101495,Waters Co.,Business,Indiana
1101685,Aaron Homenick,Individual,Indiana
1101743,Kuvalis Group,Business,Ohio
1101825,Langosh Inc.,Business,Minnesota
1101839,Bashirian International,Business,Illinois
1101902,Kessler Inc.,Business,Ohio
1101926,Heller Inc.,Business,Minnesota
1101945,Mitchell Hayes,Individual,Kansas
1102052,Hayes LLC,Business,Illinois
1102085,Bergnaum Group,Business,Ohio
1102227,Aufderhar Tech,Business,Kansas
1102305,Hudson LLC,Business,Ohio
1102306,Koch LLC,Business,Ohio
1102439,Walker Group,Business,Minnesota
1102469,Janene Olivia,Individual,Wisconsin
1102578,Green-Shields,Business,Minnesota
1102680,Bryana Reedshaw,Individual,Indiana
1102697,Zebadiah Kinsey,Individual,Minnesota
1102745,White Group,Business,Ohio
1103009,MacGyver Group,Business,Ohio
1103056,Edwina Roubert,Individual,Iowa
1103206,Mary Jast,Individual,Iowa
1103219,Beier Inc.,Business,Michigan
1103275,Paolo Gadaud,Individual,Ohio
1103291,Joeseph Douglas,Individual,Kansas
1103289,Milly Parrot,Individual,Indiana
1103301,Andriana Campes,Individual,Kansas
1103413,Artair Stratiff,Individual,Michigan
1103565,Green-Shields,Business,Minnesota
1103780,Langosh Inc.,Business,Minnesota
1103787,Mickie Imlen,Individual,Ohio
1103799,Romaguera LLC,Business,Ohio
1103887,Marvin Inc.,Business,Kansas
1104015,Issy Battison,Individual,Michigan
1104089,Bertrand Pusill,Individual,Illinois
1104242,Dorey Gonzales,Individual,Michigan
1104323,Walker Group,Business,Minnesota
1104380,Ullrich Inc.,Business,Kansas
1104420,Connelly LLC,Business,Illinois
1104433,Brenda Murray,Individual,Michigan
1104457,Kenon Hatwell,Individual,Ohio
1104578,Anderson LLC,Business,Ohio
1104768,Wylie Candy,Individual,Ohio
1104819,Bergstrom LLC,Business,Minnesota
1104837,Cartwright LLC,Business,Iowa
1104910,Green-Shields,Business,Minnesota
1104934,Cathrine Martlew,Individual,Illinois
1105086,Ullrich Inc.,Business,Kansas
1105153,Predovic LLC,Business,Iowa
1105307,Rippin Industries,Business,Iowa
1105330,Trevar Measures,Individual,Minnesota
1105362,Jamie Monnelly,Individual,Iowa
1105372,Skelly MacKniely,Individual,Wisconsin
1105403,Hilpert Industries,Business,Minnesota
1105409,Reba Leffler,Individual,Michigan
1105415,Bergstrom LLC,Business,Minnesota
1105534,Kuvalis Group,Business,Ohio
1105626,Bergnaum Group,Business,Ohio
1105640,Hilpert Industries,Business,Minnesota
1105701,Lockman Group,Business,Kansas
1105770,Durgan Group,Business,Indiana
1105783,Bins Inc.,Business,Ohio
1105866,Jen Okuneva,Individual,Michigan
1105890,Green-Shields,Business,Minnesota
1100988,Beahan Inc.,Business,Hawaii
1100994,Zemlak Inc.,Business,California
1101070,Zoo Technologies,Business,Hawaii
1101101,Sauer AI Tech,Business,Nevada
1101167,Bengt Ennew,Individual,California
1101311,Little and Sons,Business,California
1101388,Deborah Nilles,Individual,California
1101575,Russel Group,Business,California
1101622,Boehm Inc.,Business,Idaho
1101697,Victor Johnston,Individual,California
1101798,Little and Sons,Business,California
1101932,Little and Sons,Business,California
1102041,Breitenberg LLC,Business,California
1102152,Ursa Pilmoor,Individual,California
1102188,Wehner and Sons,Business,California
1102216,Roxi Spenclay,Individual,Hawaii
1102238,Maxi Yukhtin,Individual,Hawaii
1102313,Fisher Inc.,Business,Nevada
1102437,Alberta Alasdair,Individual,California
1102460,Little and Sons,Business,California
1102589,Fisher Inc.,Business,Nevada
1102666,Jaskolski Company,Business,California
1102698,Fisher Inc.,Business,Nevada
1102692,Wiatt Hawkyens,Individual,California
1102713,Lorry Matteuzzi,Individual,Hawaii
1102847,Allyson Dumbare,Individual,California
1102894,Cybill Spooner,Individual,Nevada
1102902,Toy LLC,Business,California
1103033,Russel Group,Business,California
1103106,Breitenberg LLC,Business,California
1103128,Palmer Sothcott,Individual,Nevada
1103158,Toy LLC,Business,California
1103237,Jolie Renner,Individual,California
1103427,Jere Court,Individual,California
1103506,Sauer AI Tech,Business,Nevada
1103577,Upton LLC,Business,California
1103610,Pacocha Inc.,Business,California
1103717,Laurens Hammerberg,Individual,Hawaii
1103744,Rowe Meric,Individual,California
1103774,Spinka LLC,Business,Nevada
1103798,Derby Heasly,Individual,California
1103930,Sally Gallego,Individual,California
1104092,Dillon Ankunding,Individual,California
1104101,Geremy Krajcik,Individual,Hawaii
1104219,Little and Sons,Business,California
1104390,Crist Innovations,Business,California
1104495,Janette MacBean,Individual,California
1104553,Christie Joder,Individual,California
1104570,Leannon Group,Business,California
1104719,Lanita Anetts,Individual,California
1104726,Ruby Robel,Individual,Nevada
1104875,Cassin Inc.,Business,California
1105041,Vinita Vidler,Individual,California
1105218,Brose Duinbleton,Individual,California
1105267,Fahey Forever Inc..,Business,California
1105276,Little and Sons,Business,California
1105297,Fisher Inc.,Business,Nevada
1105456,Stephanie Sweetman,Individual,California
1105644,Toy LLC,Business,California
1105693,Jaskolski Company,Business,California
1105777,Fonz Troy,Individual,Nevada
1105797,Fallon Siburn,Individual,California
1105837,Koss Industries,Business,Nevada
1100946,Jacobi LLC,Business,Arizona
1100975,Corkery International ,Business,Utah
1101062,Blue Sky Kites,Business,Colorado
1101325,Hazel Bison,Individual,Arizona
1101386,Jones LLC,Business,Arizona
1101395,Aldus Leisman,Individual,Utah
1101552,Dulcie Geaney,Individual,Arizona
1101638,Mersey Buckie,Individual,Utah
1101700,Parker Group,Business,Arizona
1101818,Irita Pinnick,Individual,Colorado
1102078,Torphy Invisionaries,Business,Arizona
1102093,Leon Minocchi,Individual,Colorado
1102110,Corkery International ,Business,Utah
1102253,Vally Lardge,Individual,Colorado
1102334,Jacobi LLC,Business,Arizona
1102619,Bechtelar LLC,Business,Arizona
1102683,Elga Bedboro,Individual,Utah
1102814,Pennie Fillan,Individual,Colorado
1102841,Bernadette Ketch,Individual,Arizona
1103080,Christiansen Group,Business,Colorado
1103183,Ron Gilfoy,Individual,Colorado
1103302,Murazik Inc.,Business,Arizona
1103323,Moina Jarrel,Individual,Colorado
1103365,Jacobi LLC,Business,Arizona
1103597,Bechtelar LLC,Business,Arizona
1103612,Cremin LLC,Business,Colorado
1103692,Blair Kubyszek,Individual,Arizona
1103854,Parker Group,Business,Arizona
1103884,Hickle LLC,Business,Arizona
1103952,Jemimah Dedam,Individual,Colorado
1103964,Parker Group,Business,Arizona
1104065,Corkery International ,Business,Utah
1104209,Eugenia Emlin,Individual,Colorado
1104251,Gail Koepp,Individual,Arizona
1104356,Jacobi LLC,Business,Arizona
1104462,Clever Industries,Business,Utah
1104484,CDIA Inc..,Business,Colorado
1104566,Jones LLC,Business,Arizona
1104650,CDIA Inc..,Business,Colorado
